iter	Passed	Remaining
0	0	88
1	1	80
2	2	74
3	2	66
4	3	64
5	3	62
6	4	61
7	5	60
8	5	59
9	6	57
10	7	57
11	7	57
12	8	55
13	8	54
14	9	53
15	10	53
16	10	52
17	11	52
18	12	51
19	12	50
20	13	50
21	14	50
22	15	50
23	15	50
24	16	49
25	17	49
26	17	48
27	18	47
28	19	46
29	20	46
30	20	46
31	21	45
32	21	44
33	22	43
34	22	42
35	23	41
36	23	40
37	24	40
38	25	39
39	25	38
40	26	37
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	30	34
47	31	33
48	32	33
49	32	32
50	33	32
51	33	31
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	45	18
71	45	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
