iter	Passed	Remaining
0	134	133905
1	134	67279
2	136	45411
3	137	34284
4	139	27757
5	141	23512
6	143	20404
7	145	18094
8	147	16275
9	149	14819
10	151	13628
11	152	12591
12	154	11706
13	155	10962
14	158	10386
15	159	9787
16	159	9247
17	161	8795
18	162	8379
19	163	7994
20	163	7638
21	164	7315
22	165	7022
23	166	6756
24	166	6505
25	167	6274
26	168	6063
27	169	5890
28	170	5712
29	171	5542
30	172	5381
31	172	5230
32	173	5095
33	174	4964
34	175	4839
35	176	4719
36	176	4603
37	177	4490
38	177	4385
39	178	4283
40	179	4187
41	179	4095
42	180	4006
43	180	3924
44	181	3845
45	181	3769
46	182	3695
47	183	3634
48	184	3573
49	184	3511
50	185	3453
51	186	3396
52	186	3337
53	187	3282
54	188	3231
55	188	3184
56	189	3135
57	190	3088
58	190	3042
59	191	2997
60	191	2953
61	192	2910
62	192	2868
63	193	2829
64	193	2790
65	194	2751
66	195	2715
67	195	2679
68	196	2645
69	196	2610
70	197	2580
71	198	2552
72	198	2523
73	199	2495
74	199	2466
75	200	2438
76	201	2412
77	201	2386
78	202	2366
79	203	2345
80	204	2321
81	205	2297
82	205	2271
83	206	2248
84	206	2226
85	207	2203
86	207	2180
87	208	2159
88	208	2137
89	209	2116
90	209	2096
91	210	2076
92	210	2056
93	211	2037
94	212	2020
95	212	2004
96	213	1989
97	214	1972
98	214	1956
99	215	1941
100	216	1925
101	216	1910
102	217	1894
103	218	1879
104	218	1863
105	219	1848
106	219	1832
107	220	1818
108	220	1804
109	221	1789
110	221	1776
111	222	1763
112	222	1750
113	223	1736
114	223	1723
115	224	1710
116	224	1697
117	225	1685
118	225	1672
119	226	1660
120	227	1651
121	227	1640
122	228	1630
123	229	1620
124	229	1609
125	230	1599
126	231	1588
127	231	1579
128	232	1571
129	233	1562
130	234	1553
131	234	1543
132	235	1534
133	235	1524
134	236	1514
135	236	1504
136	237	1495
137	237	1486
138	238	1477
139	239	1468
140	239	1460
141	239	1450
142	240	1441
143	241	1433
144	241	1425
145	242	1418
146	243	1411
147	243	1403
148	244	1396
149	245	1389
150	245	1381
151	246	1374
152	247	1368
153	247	1362
154	248	1355
155	249	1349
156	249	1341
157	250	1334
158	250	1327
159	251	1320
160	251	1312
161	252	1305
162	252	1298
163	253	1292
164	254	1285
165	254	1278
166	255	1272
167	255	1265
168	256	1259
169	257	1254
170	257	1250
171	258	1244
172	259	1238
173	259	1232
174	260	1226
175	260	1221
176	261	1216
177	262	1211
178	263	1206
179	263	1201
180	264	1195
181	264	1190
182	265	1184
183	265	1178
184	266	1173
185	266	1167
186	267	1162
187	267	1156
188	268	1152
189	269	1148
190	269	1143
191	270	1138
192	271	1134
193	272	1130
194	272	1126
195	273	1121
196	274	1117
197	274	1113
198	275	1108
199	276	1104
200	276	1101
201	277	1097
202	278	1093
203	279	1089
204	279	1084
205	280	1079
206	280	1075
207	281	1070
208	281	1066
209	282	1062
210	282	1058
211	283	1053
212	283	1049
213	284	1044
214	285	1040
215	285	1036
216	286	1032
217	286	1028
218	287	1024
219	288	1021
220	288	1017
221	289	1014
222	290	1010
223	290	1007
224	291	1004
225	292	1000
226	292	997
227	293	993
228	294	990
229	294	987
230	295	984
231	296	981
232	297	977
233	297	974
234	298	970
235	298	966
236	299	962
237	299	959
238	300	955
239	300	952
240	301	949
241	302	946
242	303	944
243	303	940
244	304	937
245	304	934
246	305	931
247	306	928
248	306	925
249	307	923
250	308	920
251	309	917
252	309	914
253	310	910
254	310	907
255	311	904
256	311	901
257	312	898
258	312	895
259	313	891
260	313	888
261	314	885
262	314	882
263	315	879
264	316	876
265	316	874
266	317	872
267	318	869
268	318	866
269	319	863
270	320	860
271	320	858
272	321	856
273	322	854
274	323	851
275	323	849
276	324	846
277	325	844
278	325	841
279	326	838
280	326	836
281	327	833
282	327	830
283	328	827
284	328	825
285	329	822
286	329	819
287	330	817
288	331	815
289	332	813
290	333	811
291	333	809
292	334	806
293	334	804
294	335	802
295	336	800
296	337	798
297	338	797
298	339	795
299	339	792
300	340	790
301	341	788
302	341	785
303	342	783
304	342	780
305	343	778
306	344	777
307	344	774
308	345	773
309	346	771
310	347	769
311	347	767
312	348	765
313	349	762
314	349	760
315	350	758
316	351	757
317	352	755
318	352	753
319	353	751
320	354	749
321	354	747
322	355	744
323	355	742
324	356	740
325	357	738
326	357	736
327	358	733
328	358	731
329	359	729
330	360	727
331	360	725
332	361	724
333	362	722
334	362	720
335	363	718
336	364	716
337	365	715
338	365	713
339	366	711
340	367	709
341	367	707
342	368	705
343	368	703
344	369	701
345	370	699
346	370	697
347	371	695
348	371	693
349	372	691
350	372	689
351	373	687
352	373	685
353	374	683
354	375	681
355	375	679
356	376	678
357	377	676
358	377	674
359	378	672
360	379	671
361	379	669
362	380	667
363	381	666
364	382	664
365	383	663
366	383	661
367	384	659
368	384	657
369	385	655
370	385	653
371	386	652
372	386	650
373	387	648
374	387	646
375	388	644
376	389	643
377	389	641
378	390	639
379	391	638
380	391	636
381	392	634
382	393	633
383	393	631
384	394	630
385	395	628
386	395	626
387	396	624
388	396	623
389	397	621
390	397	619
391	398	617
392	398	616
393	399	614
394	399	612
395	400	610
396	400	609
397	401	607
398	402	606
399	402	604
400	403	602
401	404	601
402	405	600
403	406	599
404	407	597
405	407	596
406	408	595
407	409	593
408	409	591
409	410	590
410	410	588
411	411	587
412	412	585
413	412	584
414	413	582
415	413	581
416	414	579
417	415	578
418	415	576
419	416	574
420	416	573
421	417	572
422	418	570
423	419	569
424	419	567
425	420	566
426	421	565
427	421	563
428	422	562
429	423	561
430	423	559
431	424	558
432	425	557
433	426	555
434	426	554
435	427	552
436	427	550
437	428	549
438	428	547
439	429	546
440	429	544
441	430	543
442	431	542
443	431	540
444	432	539
445	433	538
446	433	536
447	435	536
448	436	535
449	436	533
450	437	532
451	438	531
452	438	529
453	439	528
454	439	526
455	440	525
456	440	523
457	441	522
458	442	521
459	442	519
460	443	518
461	443	516
462	444	515
463	444	513
464	445	512
465	446	511
466	446	509
467	447	508
468	447	506
469	448	505
470	449	504
471	450	503
472	450	502
473	451	501
474	452	499
475	453	498
476	453	497
477	454	495
478	454	494
479	455	493
480	456	492
481	456	490
482	457	489
483	457	487
484	458	486
485	458	485
486	459	484
487	460	482
488	460	481
489	461	480
490	462	479
491	462	477
492	463	476
493	463	475
494	464	474
495	465	473
496	466	471
497	466	470
498	467	469
499	467	467
500	468	466
501	469	465
502	469	464
503	470	462
504	470	461
505	471	460
506	472	459
507	472	457
508	473	456
509	473	455
510	474	453
511	475	452
512	475	451
513	476	450
514	476	449
515	477	447
516	478	446
517	478	445
518	479	444
519	480	443
520	480	442
521	481	440
522	482	440
523	483	438
524	483	437
525	484	436
526	484	434
527	485	433
528	485	432
529	486	431
530	486	430
531	487	428
532	488	427
533	488	426
534	489	425
535	489	424
536	490	422
537	490	421
538	491	420
539	491	419
540	492	417
541	493	416
542	493	415
543	494	414
544	495	413
545	496	412
546	496	411
547	497	410
548	497	409
549	498	407
550	499	406
551	499	405
552	500	404
553	501	403
554	501	402
555	502	401
556	503	400
557	503	398
558	504	397
559	504	396
560	505	395
561	505	394
562	506	392
563	506	391
564	507	390
565	507	389
566	508	388
567	509	387
568	509	386
569	510	385
570	511	384
571	511	383
572	512	382
573	513	381
574	513	379
575	514	378
576	515	377
577	515	376
578	516	375
579	516	374
580	517	372
581	517	371
582	518	370
583	518	369
584	519	368
585	520	367
586	520	366
587	521	365
588	522	364
589	522	363
590	523	362
591	524	361
592	525	360
593	526	359
594	526	358
595	527	357
596	528	356
597	528	355
598	529	354
599	529	353
600	530	351
601	530	350
602	531	349
603	532	348
604	532	347
605	533	346
606	533	345
607	534	344
608	534	343
609	535	342
610	535	341
611	536	340
612	536	338
613	537	337
614	537	336
615	538	335
616	539	334
617	540	333
618	540	332
619	541	331
620	542	330
621	542	329
622	543	328
623	543	327
624	544	326
625	545	325
626	546	324
627	546	323
628	547	322
629	548	321
630	548	320
631	549	319
632	549	318
633	550	317
634	550	316
635	551	315
636	552	314
637	552	313
638	553	312
639	553	311
640	554	310
641	555	309
642	555	308
643	556	307
644	557	306
645	558	305
646	558	304
647	559	303
648	560	302
649	560	301
650	561	300
651	561	299
652	562	298
653	562	297
654	563	296
655	563	295
656	564	294
657	565	293
658	565	292
659	566	291
660	566	290
661	567	289
662	567	288
663	568	287
664	569	286
665	570	285
666	570	284
667	571	284
668	572	283
669	572	282
670	573	281
671	574	280
672	574	279
673	575	278
674	575	277
675	576	276
676	576	275
677	577	274
678	578	273
679	578	272
680	579	271
681	579	270
682	580	269
683	580	268
684	581	267
685	581	266
686	582	265
687	583	264
688	584	263
689	584	262
690	585	261
691	586	260
692	586	259
693	587	259
694	588	258
695	588	257
696	589	256
697	590	255
698	590	254
699	591	253
700	592	252
701	592	251
702	593	250
703	594	249
704	594	248
705	596	248
706	597	247
707	598	246
708	599	246
709	600	245
710	601	244
711	602	243
712	602	242
713	603	241
714	604	240
715	604	239
716	605	239
717	606	238
718	607	237
719	607	236
720	608	235
721	609	234
722	610	233
723	610	232
724	611	231
725	611	230
726	612	230
727	613	229
728	614	228
729	615	227
730	616	226
731	617	225
732	617	225
733	618	224
734	619	223
735	620	222
736	621	221
737	621	220
738	622	219
739	623	218
740	623	218
741	624	217
742	625	216
743	625	215
744	626	214
745	627	213
746	628	212
747	629	211
748	630	211
749	631	210
750	631	209
751	632	208
752	633	207
753	634	206
754	634	206
755	635	205
756	636	204
757	636	203
758	637	202
759	638	201
760	639	200
761	639	199
762	640	198
763	641	198
764	642	197
765	643	196
766	643	195
767	644	194
768	645	193
769	646	193
770	647	192
771	648	191
772	649	190
773	649	189
774	650	188
775	651	188
776	652	187
777	653	186
778	654	185
779	654	184
780	655	183
781	656	182
782	657	182
783	657	181
784	658	180
785	659	179
786	660	178
787	661	177
788	662	177
789	662	176
790	663	175
791	663	174
792	664	173
793	665	172
794	666	171
795	666	170
796	667	170
797	668	169
798	669	168
799	669	167
800	671	166
801	672	165
802	672	165
803	673	164
804	674	163
805	675	162
806	675	161
807	676	160
808	677	159
809	677	158
810	678	158
811	678	157
812	679	156
813	680	155
814	681	154
815	681	153
816	682	152
817	683	152
818	684	151
819	684	150
820	685	149
821	686	148
822	687	147
823	688	147
824	689	146
825	690	145
826	691	144
827	691	143
828	692	142
829	693	141
830	693	141
831	694	140
832	694	139
833	695	138
834	696	137
835	697	136
836	697	135
837	698	134
838	698	134
839	698	133
840	699	132
841	699	131
842	700	130
843	701	129
844	701	128
845	702	127
846	703	127
847	703	126
848	704	125
849	705	124
850	705	123
851	706	122
852	707	121
853	707	121
854	708	120
855	709	119
856	709	118
857	710	117
858	710	116
859	711	115
860	712	114
861	712	114
862	713	113
863	713	112
864	714	111
865	714	110
866	715	109
867	716	108
868	716	108
869	717	107
870	718	106
871	718	105
872	719	104
873	720	103
874	720	102
875	721	102
876	722	101
877	722	100
878	723	99
879	723	98
880	724	97
881	725	97
882	725	96
883	726	95
884	726	94
885	727	93
886	727	92
887	728	91
888	729	91
889	730	90
890	730	89
891	731	88
892	732	87
893	732	86
894	733	86
895	734	85
896	734	84
897	735	83
898	735	82
899	736	81
900	736	80
901	737	80
902	737	79
903	738	78
904	739	77
905	739	76
906	740	75
907	741	75
908	741	74
909	742	73
910	743	72
911	743	71
912	744	70
913	744	70
914	745	69
915	746	68
916	746	67
917	747	66
918	748	65
919	748	65
920	749	64
921	749	63
922	750	62
923	750	61
924	751	60
925	751	60
926	752	59
927	753	58
928	753	57
929	754	56
930	755	55
931	755	55
932	756	54
933	757	53
934	757	52
935	758	51
936	759	51
937	759	50
938	760	49
939	761	48
940	762	47
941	762	46
942	763	46
943	764	45
944	764	44
945	765	43
946	766	42
947	766	42
948	767	41
949	767	40
950	768	39
951	769	38
952	769	37
953	770	37
954	770	36
955	771	35
956	772	34
957	772	33
958	773	33
959	773	32
960	774	31
961	775	30
962	776	29
963	776	29
964	777	28
965	778	27
966	778	26
967	779	25
968	779	24
969	780	24
970	781	23
971	781	22
972	782	21
973	782	20
974	783	20
975	783	19
976	784	18
977	785	17
978	785	16
979	786	16
980	787	15
981	787	14
982	788	13
983	789	12
984	789	12
985	790	11
986	791	10
987	791	9
988	792	8
989	793	8
990	794	7
991	795	6
992	795	5
993	796	4
994	797	4
995	797	3
996	798	2
997	799	1
998	799	0
999	800	0
